APmonth, APsales, APcsum, APmsum
40269, 1000, , 
40299, 990, , 
40330, 980, , 
40360, 970, , 
40391, 961, , 
40422, 951, , 
40452, 941, , 
40483, 932, , 
40513, 923, , 
40544, 914, , 
40575, 904, , 
40603, 895, , 
40634, 886, 886, 11247
40664, 878, 1764, 11135
40695, 869, 2633, 11024
40725, 860, 3493, 10914
40756, 851, 4344, 10804
40787, 843, 5187, 10696
40817, 835, 6022, 10590
40848, 826, 6848, 10484
40878, 818, 7666, 10379
40909, 810, 8476, 10275
40940, 802, 9278, 10173
40969, 794, 10072, 10072
